instance;optimal;difference
10_ulysses_3.tsp;true;-0.14026805444658483
10_ulysses_6.tsp;true;-0.5978265525324085
10_ulysses_9.tsp;true;-0.226427945931031
14_burma_3.tsp;true;-0.9228947027066463
14_burma_6.tsp;true;-0.5928355471595158
14_burma_9.tsp;false;-1.082468517113088
22_ulysses_3.tsp;true;-0.4873589103765657
22_ulysses_6.tsp;true;-1.1194315993859132
22_ulysses_9.tsp;false;-1.5001458998451296
26_eil_3.tsp;true;-0.4991422523951991
26_eil_6.tsp;false;-0.45424961430016353
26_eil_9.tsp;false;-0.3011781534764861
30_eil_3.tsp;false;-0.32357004054942606
30_eil_6.tsp;false;-0.44314812795197644
30_eil_9.tsp;false;-0.6424126654858705
34_pr_3.tsp;false;-0.40148311974271667
34_pr_6.tsp;false;-0.5546639294600116
34_pr_9.tsp;false;-0.2764773751989547
38_rat_3.tsp;false;-0.30263079567687085
38_rat_6.tsp;false;-0.3164911398760917
38_rat_9.tsp;false;-0.04654953223109561
40_eil_3.tsp;false;-0.17471508384458778
40_eil_6.tsp;false;-0.20453692107690594
40_eil_9.tsp;false;-0.025378870225186093
44_lin_3.tsp;false;-0.14096446414171163
44_lin_6.tsp;false;-0.1588685020575093
44_lin_9.tsp;false;-0.2129736903111653
48_att_3.tsp;false;-0.2650159300737953
48_att_6.tsp;false;-0.3351996056821733
48_att_9.tsp;false;-0.24405112219965974
52_berlin_3.tsp;false;-0.2706684317472424
52_berlin_6.tsp;false;-0.4259097526889003
52_berlin_9.tsp;false;1.0
70_st_3.tsp;false;-0.029766577357369317
70_st_6.tsp;false;0.045325984267942494
70_st_9.tsp;false;0.10421395995377
80_gr_3.tsp;false;-0.11581295508570276
80_gr_6.tsp;false;-0.0028529075591010745
80_gr_9.tsp;false;-0.004647463889846735
100_kroA_3.tsp;false;-0.10447070708434023
100_kroA_6.tsp;false;0.027081290771697356
100_kroA_9.tsp;false;0.9825640527221069
202_gr_3.tsp;false;0.8471143280164317
202_gr_6.tsp;false;0.13864100882450264
202_gr_9.tsp;false;-0.0024095906811212966
318_lin_3.tsp;false;0.0473538174083719
318_lin_6.tsp;false;0.033193715340006515
400_rd_9.tsp;false;0.004324767674892367
532_att_3.tsp;false;0.06914062613033083
532_att_6.tsp;false;0.0014927157390133513
532_att_9.tsp;false;0.22673651561792646
