instance;optimal;relative_difference
100_kroA_3.tsp;false;0.03668414983416787
100_kroA_6.tsp;false;0.02743486536749489
100_kroA_9.tsp;false;0.015730998059786058
10_ulysses_3.tsp;true;0.0
10_ulysses_6.tsp;true;1.2298240018532077e-16
10_ulysses_9.tsp;true;0.0
14_burma_3.tsp;true;0.0
14_burma_6.tsp;true;0.0
14_burma_9.tsp;true;0.0
202_gr_3.tsp;false;0.08412759199475302
202_gr_6.tsp;false;0.0
202_gr_9.tsp;false;0.04066525977372559
22_ulysses_3.tsp;true;0.0
22_ulysses_6.tsp;true;0.0
22_ulysses_9.tsp;true;0.0
26_eil_3.tsp;true;0.0
26_eil_6.tsp;true;0.004982512400259211
26_eil_9.tsp;true;0.041660679721884517
30_eil_3.tsp;true;0.0
30_eil_6.tsp;true;0.0036474547219068573
30_eil_9.tsp;false;0.013994758938543463
318_lin_3.tsp;false;0.0
318_lin_6.tsp;false;0.0
318_lin_9.tsp;false;0.02384293674492039
34_pr_3.tsp;true;0.0
34_pr_6.tsp;false;0.038570539140843706
34_pr_9.tsp;false;0.025300269956129266
38_rat_3.tsp;true;0.07904869161175931
38_rat_6.tsp;false;0.08699440110091688
38_rat_9.tsp;false;0.006859150788917507
400_rd_3.tsp;false;0.003500802743928328
400_rd_6.tsp;false;0.017020747907731084
400_rd_9.tsp;false;0.004490489154826525
40_eil_3.tsp;false;0.015172893211008478
40_eil_6.tsp;false;0.02037174488473877
40_eil_9.tsp;false;0.012167104508756499
44_lin_3.tsp;false;0.028604880730707386
44_lin_6.tsp;false;0.030668655997136196
44_lin_9.tsp;false;0.15876610020521845
48_att_3.tsp;false;0.021428379969271192
48_att_6.tsp;false;0.05294472530963143
48_att_9.tsp;false;0.05364063446479202
52_berlin_3.tsp;false;0.02550875920592287
52_berlin_6.tsp;false;0.005307878246073639
52_berlin_9.tsp;false;0.001002381877888674
532_att_3.tsp;false;0.0
532_att_6.tsp;false;0.0
532_att_9.tsp;false;0.007155285360695752
70_st_3.tsp;false;0.04006243272494864
70_st_6.tsp;false;0.05365767830191934
70_st_9.tsp;false;0.013854785851240208
80_gr_3.tsp;false;0.013096263926038807
80_gr_6.tsp;false;0.037336556664440065
80_gr_9.tsp;false;0.007155972343807038
